word 	count	meaning	 posone 	 postwo 	 sentence 
dagko	53	big (plural)	mod.		 Dinhi hadto han panahon pa han peace time, may mga tawo nga nagpapakita, an sinisiring nga dagko nga mga tawo, nga dagko pa hin harigi, hasta han ka hagtaas
bis	52	short for bisan; even	l.		 Listo in hi ate Belen ha kinabuhi ngan di napatalumpigos bis gutiay
mayada	52	there is/there are; has/have; wealthy	v.	mod	 \tGen 1 11 Ngan an Dios siniring An tuna magpaturuk hin banwa, mga tanum nga mayada binhi, ngan mga kahoy nga magburunga nga namumunga su-gad han ira kalainan, nga an iya liso aada ha sakub, ha bawbaw han tuna ngan ito nahimo
agi	51	way/path; my goodness!	n.	v.	 Han pag agi han mga katuigan, umukoy an pagbisita ngan pag alog hini nga mga tikasan ha Musongbusong
gugma	51	love	n.	v	 “Ini’n akon kwarta diri ako naaawa, an kinaaawaan ko ha imo iton gugma
gab-i	50	night	n.		 Han gab-i han kasal, waray hira maghilawas kay guol
harani	50	close/near by	mod.		 Ngan it’ naka asawa kuno ha iya, dida la hit’ ira harani
napulo	50	ten	num.reg.		 Pero ikaw, Pedro han napulo ka tuig waray ito manhimarbas
patay	50	1 dead; cadaver  2 kill	mod.	v.	 Pero an bata, patay na
samtang	50	mean while; while	l.		 Nagkakalisanglisang pamaton han interbyu ha telepono an mga opisyales og empleyado ha gobyerno diin nahilalambigit an ira mga ngaran samtang iginpapabantog han ira mga biktama ha Operation Bulig an maanomaliya nga mga transaksyones
bukid	49	mountain	n.		 An iya ginbisyo, sinmagka hiya ha bukid hin waray balon balon
butang	49	1 a thing; an object; a matter 2 put (the thing) down	n.	v.	May natukdo hin baol, tibod, nga tanan nga butang ha balay, baga hin nagproposisyon, an iba natugway hin bata
may-ada	48	there is/there are; has/have; wealthy	v.	mod.	 Bisan pagpakaon han mga tawo, kay may-ada man niya
nganhi	48	 going in the direction from a distance to the speaker	pro.d		 ” Usa ka panahon, aga, nagsiring hiya han iba nga mga surugoon, “Kadtoa an hardinero, paaroti ngan pasak a nganhi ha akon kay may ada niya sala
sangkay	48	friend	n.		 Dida hinin naglabay nga patron ha Palo, inin akon sangkay nagpasalida han kan Iluminado G
dagat	47	sea	n.		 Ha bawbaw han Kanhuraw namumutang an City Hall kun diin liwat tinatamdan an maanyag nga dagat han Kankabatok
kahoy	47	wood; tree	n.		Siring niya, “Dinhi na la ako huhuron hini nga kahoy
tubtob	47	up to; until; demarcation; boundary	mod.	n.	 Tikang ha problema ha medisina, pagkaon ug masisirongan, panawagan han nawawara nga puya, tubtob pag amot hin ibarayad ha kasal, bunyag ngan lubong—asya ini an Operation Bulig
dalan	46	road; path	n.		 Han dinhi ha dalan nakaagi hiya hin turil nga damo’n kabakahan
ginngaranan	46	called; named (object focus)	v.		 Ngan dinhi na ini ginngaranan namon nga ‘Siday
ngahaw	46	self same	mod.		 An entri nga nagdadaog an binabasa hito ngahaw nga adlaw
pagkita	46	meeting; the act of seeing; ability to see; sight; vision; view; glimpse	n.	v.	1 Han pagkita naman hini nga bantay hin mga paraw, nabudyong ini hiya. 2 Waray ako pagkita han salida ha plaza kay malipong akon ulo.
una	46	first (ordinal numeral)	num.or.		 Hadto han baga una nga panahon, an karabaw ginsugo han aton Diyos pagkanhi ha tuna
kalugaringon	45	self; ownership, one\'s own personality, the right of possession	n.		 Waray ako pagpasipara han akon kalugaringon nga pamuruboot, kundi, nangaro ako hin gahom kay ikaw man an akon portuna—maghingaraot, maghingaupay
nakakita	45	saw; was able to see	v.		 Pag-abot ko ha bukid, nakakita ako hin tamsi
dughan	44	bossom; chest; heart	n.		 Inin dughan manipis man, Tinago an ngatanan
kontra	44	enemy; against	n.		 Pero an mga sumat ha telebisyon diri apiki ngan diri sugad kasuok han mga sumat ha radyo diin mahibabatian an mga kagulalang ha kinabuhi ni Polano og Polana, mga uropod, sangkay, kontra og kaaway ha politika
lagas	44	old	mod.	n.	 3 Hini nga panahon lagas na hi Sumigin
aadto	42	 demonstrative pronoun in spatial orientation indicating  something far from both hearer & speaker	pro.d.		 Ha paglupad gud hito, aadto ito tutugpa hiton tore hiton babayi
gawas	42	outside; to go outside	n.	v.	 Ini nga pamaagi hin pagsurat, gawas han iba nga porma, asya an sinupohan han mga batan on mga magsusurat
hadton	42	demonstrative pronoun in temporal orientation indicating something in the past (see hadi and dida for contrast)	pro.d.		 Una nga nahibatian ha kahanginan an DYVL dida hadton Oktobre 17, 1956
hunahuna	42	1 mind; thoughts 2 thinking 	n.	v.	 An ira hunahuna permi may bag o ngan kinadalian nga mga isyu nga angay tagan hin komentaryo
labot	41	1 concern; interest; business;care about 2 touch; handle 3 besides; also (as in labot la)	n.	v.	 Waray naliwat labot an taga iba nga tribo
diyos	40	god	n.		 Pero kay it’ Diyos diri nakaturog
katapos	40	afterwards; later; later on	mod.		 Ito ngani nga dako hin duro it\\\' aton pagtagad hit\\\' aton mangulo, katapos gutiay la it\\\' iya ginmamangnoan
lugod	40	 (clitic particle, class 8) instead; might as well			 Hala, kay waray man ito pakakita an kapitan han babayi, largo man ito ginkaptan ngan pasak on ngadto han barko, waray man ito balyoa nga kwentas, an babayi lugod gintikas
nagtikang	40	started	v.		 Dida hinin mga urhi nga mga tuig, nagtikang makaangkon hin mga pasidungog an DYVL
nimo	40	you; your(s) (singular)	pro.p		 ” “Ahh, kaguol man nimo
pinaagi	40	course through; through; means	v.		 Hinihimo an sukol ha kada linya pinaagi han pag iihap han silaba ngan han pagbubutang hin caesura&#945;
sumiring	40	said	v.		 Pagdalagan hiton, baga pakadalagan hit’ niya, sumiring hiya, “Papaniguroa kay waray na it’ dida ha sirong
syahan	40	first	num.or.		 Ito nga Can omantag Tagurabong , an syahan nga nagbungkag hito hi Kardagaw, nagsuhol hiya hin mga tawo, kahuman han kabungkag hito, may balay dida ligid han kalsada, mga lagas ada adto an nangungukoy, napapausa hiya kun ano ini nga nahinarapas, paghiling niya, mga tawo, mga alas dos ada adto hin maagahon, may natukdo hin baol, tibod, nga tanan nga butang ha balay, baga hin nagproposisyon, an iba natugwaya hin bata
ambot	39	expression which means \"I don\'t know.\"			 Nakausa, ambot kun hi F
ginhimo	39	made; was/were done 	v.		 Pagmalatumat pa ni Lebico nga urusahon nga pitad ngan nagpapakita la hin usa nga guilty nga aksyon para hingalimtan an mga sala nga ginhimo han 19th IB ha mga parag uma sugad nala han panmataya han mga parag uma ha Palo, Kanangga labi na hira Professor Leonard Co ngan mismo an mga panalapas han tawhanon nga katungod ha Carigara dida pala han December 2011
katulinan	39	kindred; kinsfolk; relative; family ties	n.		 \tGen 3 15 Ngan igbubutang ko in away ha butnga nimo ngan han babaye, ngan ha butnga han imo katulinan ngan han iya katulinan nga ini mag totoltog han imo olo, ngan hi ikaw mag totoltog han iya tikod
langit	39	heaven	n.		 ” Waray kaiha, buwelta liwat an karabaw ngadto ha langit
nahanabo	39	things that happned	n.	verb	 \tGen 4 3 Ngan nahanabu han naglalakat an panahon, nga hi Kain nagdara hin bunga han tuna, nga halad ngadto ha Dios
panon	39	herd of sheep	n.		 \tGen 4 4 Ngan hi Abel man nagdara tikang han mga suhag han iya panon ngan han matambok hiton
bato	38	stone	n.		 Nagturutumbaw hira hin mga bato ha Pantakhan
nag-istorya	38	an account; tale;tell story, an account, tale/ story	n.	v.	1 Diri ako sayod han istorya hito nga isyu. 2 Amo adto hi Nanay nagmata, nag-istorya kan Tatay, pagkabuwas nasingadto ito hira Nanay hito didto nga amon gin uma Pag-abot ngadto, ginlubngan nira Nanay hi desisyete ka sentabos, kay hi ako masakiton na liwat ako hadto
nakita	38	seeing, staring, looking on	v.		 Kay nakita nga nauro ito’n uding, kahuman nira uuro, ira ito gintatakpan
tinapay	38	bread	n.		 Magdarahog iton mga Manilan on, Kay karuyag hin limpyo nga tinapay o kan on
dulag	37	an ancient town in Leyte	n.		 Iton mga balod, iton mga balod Mulayan han dagat Nga dit’ ha kalawdan, nagbabalatbagat An gab i nga dulom, an gab i nga dulom An dagat naranggat
iton akon	37	contraction of \"iton akon\"			 Sanglit han pagsalidsid han mapawa nga adlaw Higtaas nga bukid luub hin kasilaw Paghuni han gangis upud an kamingaw Duyog an pagtangis gindumdom ko ikawginbubusyo kana liwat, ayaw palipat makasurumo munyekaon mo nga nawong bisan hino malulurong, baga baga liwat kan chaka doll danay ka ha akon maglibak, dagus tak dila makagat nakakakabadtrip ka
kalag	37	soul	n.		 Kukudlihon ko an ikaduha ngan kataposan nga stanza An budo ayaw pagdad a, An bahaw ngan luwag, Layas kun malayas ka, Diri matangis an ak’ kalag
pakakita	37	be able to see	v.		 Hala, kay waray man ito pakakita an kapitan han babayi, largo man ito ginkaptan ngan pasak on ngadto han barko, waray man ito balyoa nga kwentas, an babayi lugod gintikas
taliwan	37	afterwards/later on; see kataliwan	mod.		Ngan an mga adlaw ni Adam taliwan niya pag-anak kan Set, walo ka gatus ka tuig
danay	36	sometimes; seldom; rare; infrequent	mod.		 Pero, makakasiring kita nga nagawas gad gihapon ini, danay aksidente la, pananglitan ha siday nga “Labitig” 1993 ni Arturo Bautista ngan han kan Maximo Servidad “Naghihigugma” 1994
kanda	36	belonging to, owned by; for; to	det.p.		 Kagutom, didto ha kanda mayor damo hin pagkaon, amo iton makuri hiton aton mga kinabuhi, hi ako nagpapasuruguon dida para makakaon, nabat-os lugod ako hini nga paggwenardya
sakob	36	inside	mod.	v.	 \tGen 1 20 Ngan an Dios siniring Maghi-mo an mga tubig hin damo nga ka-pangon nga buhi nga mga mananap, ngan an katamsihan magkalupad ha ibabaw han tuna ha sakub han pa-nganoron han langit
sulod	36	content; inside (something); within 		n.	 Ha sulod hin pira la nga mga linya naipakita ni Aurillo an bug os nga sosyudad ngan han mga balaod nga ginigiosan han kada tagsa, upod an diri kamagtupong nga relasyon han babayi ngan lalaki
iroy	35	mother	n.		 Katungod nga namatay an iroy ni Layong Oray han pag anakan niya, nagtubo hi Layong Uray ha pagbabantay ni iya tatay, hi Sumigin
makuri	35	difficult	mod.		 Katikas, nagproblema an itay ngada han duduha nga bata, dida hito nga problema nira kay makuri manggod an ira kabutang nagsering an itay, panguli kita
nabuhi	35	comes alive; comes back to life	v.		 Kay nagsiring an tambalan, “Kun waray pangadii, bangin nabuhi adto
san-o	35	when	pro.i.		 Di sigurado na hini nga mga pakiana, diin ini tikang kay ginhilom ini niya san-o hiya sinmagka ngadto ha bukid
sidngon	35	tell; say; utter;state	v.		 Duong na ito nga barko, an duha nga bata, sidngon ta an edad mga dose anyos na, kadto kamo, kamo iton bantay hiton barko, dida ka ha ulin Pedrito, didto ka Nandito ha dulong, kun ano man in’ maraot nga mahitabo ha barko, pamamatayon ko kamo kay hi ako’n magbabaton hito
katima	34	afterwards; later; later on	mod.		Ada katima hadto, asya adto nga baga natalwas na it’ nga nahinglaw
taga	34	affix, it means from that place			 Pamaagi hini, nasasabtan han mga taga-Musongbusong nga buhi pa hi Layong Uray kay sige pa man an pag alog para han iya tubig
gintawag	33	was called; summoned  (object focus)	v.		 Dayon sumarakay gintawag nira, Kampay ha tuo, kampay ha wala, Waray kaiha may awto nga pumarada Ngan damo nga pasahero an sumakay ha ira
igbaw	33	on top	mod.	n.	 Ha igbaw hini natungtong it bantay ngan naghuhulat ngan nangingita
kalibutan	33	world; consciousness; awareness	n.		 An mayor waray kalibutan nga iya ito anak ug an anak waray kalibutan nga iya ito tatay, kay waray man ini hira maghikiriglala
kalalakin-an	32	males	n.		 Hala kay nakada pa man kuno iton, namumuladlat pa man kuno dida han…Basta kay imbis mga kalalakin-an nangingilob, ginlilinabay nira han mga sungo, may ada kalayo
lawas	32	body	n.		 Ngan bisan ngani pati it’ imo lawas ipakaon gihap ha ira, kay para hira makakaon hin tulo ka beses kada usa ka adlaw
lima	32	five	num.reg.		 Ginpinarte-parte ini para ha lima ka  panimalay
mahihimo	32	will be done	v.		 Oo, Itay waray kita mahihimo dinhi, magkakamatay kita hin gutom
padayon	32	continue	mod.	v.	 Sugot an kabataan kay waray man mahihimo kay uripon la hira, padayon an pagtawo, didto an kapitan, sarayaw nga tanan
pamilya	32	family	n.		 Ada, an kapitan lugod an napriso, hira la gihapon an naglungon nga pamilya
ulo	32	1 head; 2superior, supervisor	n.		 ” naghihikatuok nga siring ni Isa ngan ginpakita an iya mulayan nga napugotan han ulo
bahin	31	part; share	n.		 Ha KZRH una nga ginpadayag an mga makasaysayan nga mga pasamwak bahin han Ikaduha nga Gyera Mundyal
kababayin-an	31	women	n.		 Ginhahaglokan ito hiya kay an mga kababayin-an nga nangangagi, ginmo-molest niya
kadto	31	go there	v.		 Duong na ito nga barko, an duha nga bata, sidngon ta an edad mga dose anyos na, kadto kamo, kamo iton bantay hiton barko
maging	31	to become something/somebody	v.		 Antes hiya mag padayon maging usa nga misteryo, naka uli na hiya
maiha	31	time-consuming; takes a long time	mod.		 ” Kun nangungumusta liwat ako hiton akon mga sangkay nga maiha na waray igkikirita, nabaton gihapon hira hin “amo la gihapon
naghimo	31	made	v.		 Matungod nga pirmi hira gin aataki, naghimo hira han kuta ha prente han ira bungto
pareho	31	like; same as	mod.		 Inin kinabuhi pareho hin binlad, Guhit han kapalaran in baru baliskad, Bisan pa daw ikaw in maabilidad, Ayaw la pagtapod, bangin ka matuwad
bagay	30	things	n.		 \tGen 15 1 Taliwan hini nga mga bagay an polong han Dios inabut kan Abram ha usa nga bisyon, nga nasiring Ayaw kahadluk, Abram Ako an imo taming, ngan an imo gilalabawi ngan daku nga upa
kadam-an	30	majority;many	mod.		Bisan kadam-an nga mga oyantes , Ako magkakanta han mga okasyones Diri ikasina ngan diri ikasakit Dinhi nagkatirok nga kun kuryentes
katawhan	30	people; humanity	n.		 Suok ha katawhan an Operation Bulig
libro	30	book	n.		 Damo an sugad hini nga naghihisgot hin pamatasan ha 
tigda	30	sudden; abrupt; drastic; immediate; unexpected; suddenly without preparation	mod.		 Han tikaiha na nga panahon hi Kardagaw na an kinuha, nasakit la adto hin tigda
balik	29	return; come back	v.		 Ada ha Journalism diin otro otro, ngan balik balik an mga kabilinggan bahin kun ano an mga kabagohan, o kinaadlaw nga hitabo
baras	29	sand	n.		 Imo la ginlimot o ginsalikway Hain na an harok sadton imo mga im im Ginpasipara o ginlimot o ginkawangMga balud  Nagpapasibo ha kadagatan Kakuri gud mahidakpan Inin balud Ha baras napulilid Kun diri hira nag iisog Hay Intoy, Kamakuri mo pagdad on  Baga baga ka gud la Hinin balud Kun nasisina nalakat ka Mag uusahan ako, tabi
harayo	29	far	mod.		 May manunodsod dida ligid han salog han Can omantag han baga harayo pa pagkita niya
kabugtoan	29	brothers and sisters	n.		 Nagkakatitirok an mga kabugtoan ni Man Jess didto ha gawas han sirado nga balay
kasingkasing	29	heart	n.		 Nailiw na an kasingkasing ko Lubi lubi lubi, lubi lingkuranay Ayaw gad pagsak i, kay hibubo ay
naghatag	29	gave	v.		 Prudgie Gesta, tagdumara han RCBC, an naghatag han una nga pondo para han kinadaadlaw nga premyo nga naabot ha P 15
permi	29	most of the time; frequently	mod.		 An pamahaw ha Samar og Leyte permi binabahogan hin mga sumat tikang ha telebisyon o radyo
sadang	29	fitting; sufficient; enough; satisfactory	mod.		 Kundi tugob hin pag-aramdam, sadang niyo ikalipay
aadi	28	demonstrative pronoun in spatial orientation indicating  that  the thing may be invisible but near the speaker 	pro.d.		 ” Pakasaka niya han palasyo, aadi nagsusunod na an tuod nga hadi, pero lubas
agaron	28	lord	n.		 “Diri mauuwat an katawhan ha taktika han mga militar kay samtang nagpapadayon an magraot nga programa ngan palisiya han gobyerno labi na ha diri pagpapatuman han tinuod nga reporma ha tuna, magpapadayon an paningkamot ngan pag ato han mga parag uma sugad han MUFAC ngan samtang magpapabilin liwat nga mapanhibang nga instrumento an militar han mga kurakot ngan dagko nga agaron maytuna nga aada ha poder han aton katilingban,” pagtatapos ni Lebico
baton	28	1 reply;respond 2 respond	n.	v.	 An baton han babayi nasiring \t \tNgalaong, “an linmabay ha imo nga tamsi akon adto sugo
buot	28	will; mind; sanity; want; wish	n.		 Syahan, karuyag ko igsaysay kun ano an akon buot ipasabot han akon paggamit han pulong sa “pamahungpahong
deri	28				 hain na an at mga saad nga deri kita magbubulag waray na pag laom pa na mag kita kay ikaw na mayda na iba
hala	28	Expression of surprise: warning; watch out!			 Pag abot ngadto tabok, ibutang an bata, mabalik na unta para han usa, hala gad daw kay dinmaralwa, naanod ito nga itay, nagkabulag an duha nga bata, waray na iroy, waray an amay, nagkabulag pa gud hira
iginhatag	28	was given (object focus)	v.		 \tGen 3 12 Ngan an lalaki siniring An ba-baye nga iginhatag mo nga kaupud ko, hiya naghatag ha akon han bunga han kahoy, ngan ako kinaon
kabataan	28	1 children; youth 2 uncles  3 youthfulness	n.	mod.	 Sugot an kabataan kay waray man mahihimo kay uripon la hira, padayon an pagtawo, didto an kapitan, sarayaw nga tanan
kaluoy	28	mercy	n.		Pinangaptan an iya kamot han mga la-laki, ngan an kamot han iya asawa, ngan an kamot han iya mga anak nga babaye, ha kaluoy han Ginoo ha iya ngan hiya ginkuha nira, ngan ibinutang hiya ha gawas han bungto.
lola	28	grandmother	n.		 ” amo an malipayon nga baton han lola
luyo	28	at the back; the other side; the reverse	n.		 Diri igkakalirong nga an siday—ha luyo han mga suson—in usa nga pagpamatuod nga madasig ngan nagpapadayon an literatura han Sinirangan Visayas
nagpakiana	28	was asked	v.		 ” nababaraka nga nagpakiana ni Mama
ngadi	28	to this place (near the speaker)	pro.d.		 Pag-iarabot na nira ngadto ha sanggotan, han pangpang simnimang ini nga bila ngadi ha kalawdan
oras	28	time	n.		 Han oras na han pagtawo, sumiring an kapitan, mayor diri ako poyde kay hin o man an magbabantay hinin barko
salit	28	therefore	l.		 Salit nasuspetsa lugod an Hapon
ihinatag	27	 was given; hand down	v.		 \tGen 16 3 Ngan hi Sarai, nga kan Abram asawa, kinuha kan Agar nga taga Egipto, nga iya sorogoon nga babaye, taliwan ni Abram pagukoy hin na-pulo ka tuig ha tuna ha Kanaan, ngan ihinatag hiya kan Abram nga iya bana ha pagpaasawa
ligid	27	edge; border; rim	n.		 Ito nga Can omantag Tagurabong , an syahan nga nagbungkag hito hi Kardagaw, nagsuhol hiya hin mga tawo, kahuman han kabungkag hito, may balay dida ligid han kalsada, mga lagas ada adto an nangungukoy, napapausa hiya kun ano ini nga nahinarapas, paghiling niya, mga tawo, mga alas dos ada adto hin maagahon, may natukdo hin baol, tibod, nga tanan nga butang ha balay, baga hin nagproposisyon, an iba natugwaya hin bata
makadto	27	will go somewhere	v.		 Maaram ini hi Sumigin, amo nga pirmi niya gin uupod hi Layong Oray bisan diin hiya makadto
pinulongan	27	language	n.		 Hira an mag-aaram han Winaray nga pinulongan
problema	27	problem	n.	v.	 Katikas, nagproblema an itay ngada han duduha nga bata, dida hito nga problema nira kay makuri manggod an ira kabutang nagsering an itay, panguli kita
upat	27	four 	num.reg.		 An iya anak, di natutuhay an pagkaon, an pagpapasuso kay upat ka bulan pa la tikang pag anak niya
buhat	26	work; creation; creature/ to rise (from bed); stand up; lift 	n.	v.	 Iya ini bubuhaton para hiya mabuligan han mga buhi hin pag ampo o pag buhat han mga kinahanglanun para makaluyo ngadto han sunod nga kinabuhi
gamit	26	1 stuff; thing 2 utilize	n.	v.	 Pag abot ngadto ha talimpongayan kay didto tutubong an pikoy han iya mga piso, pamuruton an gamit han hadi, sul ot tanan hasta kappa, piloon an iya buhok, magkorona ngan dumalagan
gilayon	26	immediately; instant; become	v.		Ngan ha gilayon binayaan nira an mga pukot, ngan nanunud hira ha iya.
ginkuha	26	was taken (intentionally) (object focus)	v.		 ” Ngan ginkuha ko an morena nga munyeka nga miyembro han barkada ni Barbie Doll
gutiay	26	small; tiny; minute 	mod.		 Pero…may anak ito hiya nga gutiay
ilarum	26	below;bottom	mod.		 \tGen 1 7 Ngan an Dios naghimo han pa-nganoron ngan nag bulag han mga tubig nga nakada han ilarum han panganoron han mga tubig nga na-kada ha bawbaw han panganoron ngan ito nahimo
kinita	26	was seen	v.		 Gin kinita ko ini, ngan kalit la nga may binalik ha akon hunahuna kay magkapareho an hitsura han munyeka hadton amon anay kasapit hin balay nga hi Anna
kultura	26	culture	n.		 Hira in may hilarom ngan tinuod nga pagmayuyo han Waray, ira pa ngani ginpapasigarbo an kultura hini
kwarta	26	money; wealth	n.		 Hadto nga panahon may mag asawa, an lalaki Mayor, an babayi mahusay ngan may kwarta
mananap	26	animal; creature	n.		Ngan an Dios naghimo han gidadagkoi nga mga mananap ha dagat, ngan han ngatanan nga buhi nga mananap nga nagkikiwa
sin	26	of the (used in Calbayog area); see \\\'hin\\\'	det.c.		Bisan an bulan maparong maghahanap ak’ sin bituon, dadawgan ko, luludhan ko, tambal san gugma nga ilo
uusa	26	one (restrictive numeral)	n.		 ” “Hesus,” kuno, “Kasayop kay an akon tugon ha imo siring nga uusa la ka pagkaon han kada tutulo ka adlaw
abot	25	1 arrival; advent; reach; sale; produce 2 to attain; to meet; to happen; to touch	n.	v.	 Didto hira magbabantay han pag abot hini nga mga tikasan
agud	25	in order to; so that	l.		 Nakahuna huna hiya paghatag hin mga puplonganon ha Waray kada kahuhuman han taramdan, agud magkamay ada baga iba nga rasa an kada aga nga mga sumat
ikaduha	25	second	num.or.		 00 para han ikaduha nga pwesto, ngan P 1,500
iton imo	25				 Hubas na tim gana
nagyakan	25	said	v.		 \tGen 8 15 Ngan an Dios nagyakan kan Noe, nga nasiring \t
nahimo	25	was made to do something	v.		 Waray mag iha nahimo na ini nga paisan isan
namatay	25	died	v.		 Katungod nga namatay an iroy ni Layong Oray han pag anakan niya, nagtubo hi Layong Uray ha pagbabantay ni iya tatay, hi Sumigin
nanginginyupo	25	cry for mercy or, favor	v.		 \tGen 12 13 Ako nanginginyupo ha imo, nga masiring ka nga ikaw bugto nakon
nga-tanan	25	all	n.		 \tGen 1 31 Ngan an Dios nakakita han nga-tanan nga iya ginhimo, ngan iini, ito duro hin kaopay
pagkaon	25	food; to eat	n.	v.	 Ginsiring hiya nga, “Sidnga didto, karabaw, it’ mga tawo nga it’ iyo pagkaon, usa la pagkaon hit kada tulo ka adlaw
tamsi	25	bird	n.		 May inmagi  ha am\' natad, tamsi may binanga nga papel
unod	25	flesh 	n.		 ngan iya kinuha an usa han mga gusok, ngan kiputon an unud ha tungud hito
usahay	25	sometimes; once in a while	mod.		 Mayda gad usahay nakakatsamba, pero kasagaran… waray
balod	24	wave	n.		 Iton mga balod, iton mga balod Mulayan han dagat Nga dit’ ha kalawdan, nagbabalatbagat An gab i nga dulom, an gab i nga dulom An dagat naranggat
baryo	24	barrio; hamlet; suburb; settlement; district	n.		 Hiya an pinakamahusay didto han ira baryo
binuhat	24	1 work; creation 2 got up; woke up	n.	v.	 An binuhat han akon nanay, kinuan hin banaog, pangontra ito hiton nga mga magraot nga tawo
busa	24	reprimand	n.		 \tGen 11 9 Busa an ngaran hito gintawag Ba-bel
espiritu	24	spirit	n.		 ngan an kasisid-man nakada ha bawbaw han nawong han kahiladman ngan an Espiritu han Dios napanoy ha bawbaw ha na-wong han mga katubigan
gobyerno	24	government	n.		 Gintawagan an iya pamilya, pinakadto ha koloniya, han didto na ha koloniya baga nagkuri hira ha pagkaon, kay waray naman hira tagi han gobyerno hin supply kay ginpayawas
hangin	24	air; wind	n.		 Daw nasusunog, sidsid han langit Pati an dagat gindadala it Bangin ha unhan, may nagkaingin Nga madlos huyog hinin hangin
ihahatag	24	will give	v.		 Kun ano man iton balor nga aaroon hiton imo bana, ihahatag ko
mana	24	older sister; older female cousin; polite address to an older female	n.		 baga\'t sudo baga\'t guno, napakamahusay diri kamit naglalaway baga\'t tarap, baga\'t gumal, ayaw na gad pag angal pangispiho daw anay kay duro ka man kun manamay \'tim nawong na punggoron, sosyal kuno d man naangay
mayor	24	1 main; major; superior 2 mayor (as in town mayor)	n.		 \tNiyan, babalikon ta an duha nga bata, Hi Pedrito kay amo an nakatabok, nag apply hin trabaho dida han mayor, mayor patrabahoa gad ako, makakaonkaon la, ngalaong, Oo, didi ka la, buligbulig hiton kusinero pag alog
tingog	24	voice	n.		 DYVL— an tingog han Leyte ngan Samar Kaparti an DYVL han Manila Broadcasting Company o MBC nga igintindog ni Don Manolo Elizalde san o han Ikaduha nga Gyera Mundyal
tutulo	24	three	num.res.		 Paghinganhi niya ha tuna, ginsiring niya, “Ginsugo ako han aton baga mahal nga Diyos, an tugon niya ha akon amo ini Tikang kuno yana nga adlaw, kamo nga mga tawo dinhi ha kalibotan, ha tuna, it’ iyo pagkaon, tutulo ka beses kada usa ka adlaw
wara	24	(dialectal variation for waray) none; nothing	n.		 An pagkita naman ngan pagsumati ko ha iya nga wara ako makaupod han mga pinmasar, mas nahi una pa hiya pag tuok ha akon
winaray	24	the language of the Waray people	n.		 An Winaray tinatawag gihapon nga Binisaya nga Lineyte-Samarnon o Sinamar-Leytenhon o Waray o Waray-Waray usa nga Binisaya nga yinaknan
adto'n	23	that ; there-there (far away); a place far from the speaker and/or the person spoken to; (contraction for adto nga; see adto)	pro.d.		 Douglas McArthur adton makasaysayan nga pagbalik niya ha Pilipinas
bubuhaton	23	thing(s) to do; thing(s) to carry	n.	v.	 Iya ini bubuhaton para hiya mabuligan han mga buhi hin pag-ampo, o pagbuhat han mga kinahanglanon para makaluyo ngadto han sunod nga kinabuhi
karnero	23	sheep	n.		 \tGen 12 16 Ngan ini nagdara hin maopay kan Abram tungud han iya asawa ngan hiya nagkaada mga karnero ngan mga baka, ngan mga lalaki nga asno, ngan mga sorogoon nga lalaki, ngan mga sorogoon nga babaye, ngan mga babaye nga asno, ngan mga kamelyo
mahatungud	23	because of;	l.		 \tGen 5 29 Ngan iya gintawag an iya ngaran Noe, nga nasiring Ini amo an maglilipay ha aton mahatungud han aton buhat ngan ha kabudlay han aton mga kamot, nga maahut tungud han tuna, nga an Dios ginhikaraut
maraot	23	ugly;  not good	mod.		 Duong na ito nga barko, an duha nga bata, sidngon ta an edad mga dose anyos na, kadto kamo, kamo iton bantay hiton barko, dida ka ha ulin Pedrito, didto ka Nandito ha dulong, kun ano man in’ maraot nga mahitabo ha barko, pamamatayon ko kamo kay hi ako’n magbabaton hito
nakaagi	23	was able to find something	v.		 Niyan han nakada na hiya han negosyante, naglalakaton na, nakaagi hira hin hinogan nga prutas, sidngon ta na la, mayabas
puro	23	all; purely	mod.		 Nadisgrasya, may umagi nga barko kay isla man, ginkinampay ito kay magbabaligya hiya’n kwentas, o ibabalyo hin bugas, dumuong an barko, pagduong kuhaon niya an kwentas, ngalaong, ibabaligya ko ini, o sino man balyoa hin bugas, mga de kantidad, puro mga kadaan pa
bulan	22	1 moon 2 month	n.		 Sumiring ito nga, an iya ngaran… “Niyan, bangin magkuratsa iton hi Consuelo, ayaw pagpasayawa kay nahimalansag it’ bulan
dad-a	22	bring (command/request)	v.		 “Idoy, dad-a kami ngadto ha Kalye Naga, Pero ha Kalye Apitong, hapit anay kita
daraga	22	an unmarried woman	n.		 ” Niyan may usa nga padi, an padi dida han bungto, may ada bugto nga daraga, niyan ini nga daraga may uyab, burod ini nga manghod han padi
duduha	22	two	mod.		 Katikas, nagproblema an itay ngada han duduha nga bata, dida hito nga problema nira kay makuri manggod an ira kabutang nagsering an itay, panguli kita
gusto	22	want; desire	n.		 Diri niya gusto nga manhunahuna hin sugad labi na yana pero usahay diri niya napupugngan an iya tinuod nga ginbabati para han babaye nga naghatag ha iya hin kinabuhi pagkatapos gin pasagdan na la
kalipay	22	joy; hapiness	n.		 Sanglit an katawhan duro an kalipay
marasa	22	tasty; tastes good; palatable; delicious; savory; sweet	mod.		 Nagdali dali hiya pagpalit hin pan de sal kay marasa ini nga ipamahaw kun mapaso pa ngan kun gin sasawsaw ha tsokolate – narururasa
